date,gig_name,keyword,fiverr_status,fiverr_page,fiverr_position,ddg_status,ddg_position
2026-06-12,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-12,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-12,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-12,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-12,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-12,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-12,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-12,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-12,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-12,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-12,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-12,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-12,full-stack,django website,BLOCKED,,,ERROR,
2026-06-13,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-13,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-13,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-13,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-13,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-13,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-13,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-13,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-13,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-13,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-13,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-13,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-13,full-stack,django website,BLOCKED,,,ERROR,
2026-06-14,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-14,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-14,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-14,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-14,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-14,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-14,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-14,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-14,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-14,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-14,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-14,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-14,full-stack,django website,BLOCKED,,,ERROR,
2026-06-15,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-15,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-15,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-15,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-15,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-15,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-15,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-15,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-15,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-15,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-15,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-15,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-15,full-stack,django website,BLOCKED,,,ERROR,
2026-06-16,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-16,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-16,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-16,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-16,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-16,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-16,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-16,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-16,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-16,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-16,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-16,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-16,full-stack,django website,BLOCKED,,,ERROR,
2026-06-17,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-17,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-17,ai-vibe-coding,ai web app mvp,BLOCKED,,,NOT_FOUND,
2026-06-17,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-17,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-17,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-17,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-17,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-17,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-17,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-17,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-17,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-17,full-stack,django website,BLOCKED,,,ERROR,
2026-06-18,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-18,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-18,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-18,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-18,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-18,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-18,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-18,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-18,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-18,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-18,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-18,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-18,full-stack,django website,BLOCKED,,,ERROR,
2026-06-19,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-19,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-19,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-19,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-19,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-19,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-19,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-19,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-19,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-19,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-19,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-19,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-19,full-stack,django website,BLOCKED,,,ERROR,
2026-06-20,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-20,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-20,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-20,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-20,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-20,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-20,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-20,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-20,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-20,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-20,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-20,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-20,full-stack,django website,BLOCKED,,,ERROR,
2026-06-21,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-21,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-21,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-21,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-21,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-21,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-21,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-21,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-21,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-21,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-21,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-21,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-21,full-stack,django website,BLOCKED,,,ERROR,
2026-06-22,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-22,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-22,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-22,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-22,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-22,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-22,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-22,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-22,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-22,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-22,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-22,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-22,full-stack,django website,BLOCKED,,,ERROR,
2026-06-23,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-23,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-23,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-23,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-23,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-23,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-23,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-23,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-23,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-23,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-23,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-23,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-23,full-stack,django website,BLOCKED,,,ERROR,
2026-06-24,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-24,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-24,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-24,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-24,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-24,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-24,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-24,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-24,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-24,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-24,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-24,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-24,full-stack,django website,BLOCKED,,,ERROR,
2026-06-25,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-25,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-25,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-25,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-25,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-25,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-25,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-25,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-25,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-25,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-25,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-25,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-25,full-stack,django website,BLOCKED,,,ERROR,
2026-06-26,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-26,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-26,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-26,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-26,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-26,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-26,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-26,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-26,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-26,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-26,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-26,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-26,full-stack,django website,BLOCKED,,,ERROR,
2026-06-27,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-27,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-27,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-27,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-27,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-27,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-27,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-27,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-27,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-27,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-27,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-27,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-27,full-stack,django website,BLOCKED,,,ERROR,
2026-06-28,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-28,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-28,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-28,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-28,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
2026-06-28,bug-fix,fix react bugs,BLOCKED,,,ERROR,
2026-06-28,bug-fix,nextjs bug fix,BLOCKED,,,ERROR,
2026-06-28,bug-fix,fix website bugs,BLOCKED,,,ERROR,
2026-06-28,bug-fix,react error fix,BLOCKED,,,ERROR,
2026-06-28,full-stack,nextjs developer,BLOCKED,,,ERROR,
2026-06-28,full-stack,react web app,BLOCKED,,,ERROR,
2026-06-28,full-stack,full stack developer,BLOCKED,,,ERROR,
2026-06-28,full-stack,django website,BLOCKED,,,ERROR,
2026-06-29,ai-vibe-coding,lovable app,BLOCKED,,,NOT_FOUND,
2026-06-29,ai-vibe-coding,v0 dev,BLOCKED,,,NOT_FOUND,
2026-06-29,ai-vibe-coding,ai web app mvp,BLOCKED,,,ERROR,
2026-06-29,ai-vibe-coding,vibe coding,BLOCKED,,,ERROR,
2026-06-29,ai-vibe-coding,ai website builder,BLOCKED,,,ERROR,
